Localité,TYPE_POINT,FONCTIONNE,COMITE_GES,RESID_ART_,LOCALISATI,ANNEE_IN_1,lon,lat,PREF_NOM,SPREF_NOM,COM_NOM
Bandogo,Puits moderne,Oui,Non,Dans le village,Communaute,Moins de 10 ans,22.94780000000,4.84138000000,Mbomou,Bangassou,Zangandou
Elim,Puits moderne,Oui,Non,Dans le village,Ecole,Plus de 10 ans,21.33940000000,4.81335000000,Basse-Kotto,Alindao,Bakou
Dibol,Puits traditionnel,Oui,,,Communaute,Moins de 5 ans,16.01890000000,6.57024000000,Ouham Pendé,Bocaranga,Péndé
Elim,Puits moderne,Oui,Non,Hors du village,Communaute,Plus de 10 ans,21.34100000000,4.81603000000,Basse-Kotto,Alindao,Bakou
Herba,Puits moderne,Oui,Oui,Hors du village,Ecole,Moins de 10 ans,15.99350000000,6.68960000000,Ouham Pendé,Bocaranga,Péndé
Elim 2,Puits moderne,Oui,Non,Dans le village,Communaute,Plus de 10 ans,21.34350000000,4.81657000000,Basse-Kotto,Alindao,Bakou
Mboutou 2,Puits moderne,Oui,Oui,Dans le village,Communaute,Moins de 5 ans,19.64050000000,6.65914000000,Nana-Gribizi,Mbrès,Mbrés
Kounpo1,Puits moderne,Non,Non,Dans le village,Communaute,Plus de 10 ans,16.27230000000,7.08550000000,Ouham Pendé,Paoua,Banh
Kounpode,Puits traditionnel,Oui,Non,Dans le village,Communaute,Moins de 10 ans,16.29690000000,7.11002000000,Ouham Pendé,Paoua,Banh
Mbres,Puits traditionnel,Oui,Non,Hors du village,Communaute,Plus de 10 ans,19.79470000000,6.66974000000,Nana-Gribizi,Mbrès,Mbrés
Gambo,Puits moderne,Oui,Non,Hors du village,Ecole,Moins de 5 ans,22.26390000000,4.65126000000,Mbomou,Gambo,Gambo
Pombolo,Puits moderne,Non,Non,Hors du village,Ecole,Moins de 5 ans,21.99740000000,4.66941000000,Mbomou,Gambo,Gambo
Mbres,Puits traditionnel,Oui,Non,Hors du village,Communaute,,19.79580000000,6.66970000000,Nana-Gribizi,Mbrès,Mbrés
Mbres,Puits moderne,Oui,Non,Hors du village,Communaute,,19.79590000000,6.66700000000,Nana-Gribizi,Mbrès,Mbrés
Salo,Puits moderne,Oui,Non,Hors du village,FOSA,Moins de 10 ans,16.11750000000,3.19003000000,Sangha-Mbaéré,Nola,Salo
Ngalakpa,Puits moderne,Non,Non,Hors du village,Ecole,Moins de 5 ans,22.18280000000,4.16533000000,Mbomou,Gambo,Ngandou
Ngalakpa,Puits moderne,Non,Non,Dans le village,Communaute,Moins de 5 ans,22.18510000000,4.16287000000,Mbomou,Gambo,Ngandou
Ngalakpa,Puits moderne,Oui,Oui,Dans le village,FOSA,Plus de 10 ans,22.19570000000,4.15791000000,Mbomou,Gambo,Ngandou
Béma,Puits moderne,Non,Non,Dans le village,Ecole,Moins de 5 ans,22.43940000000,4.13566000000,Mbomou,Ouango,Ngbandinga
Labakeze,Puits moderne,Oui,Non,Dans le village,Ecole,Moins de 5 ans,22.44960000000,4.17991000000,Mbomou,Ouango,Ngbandinga
Ngombe,Puits traditionnel,Oui,Non,Dans le village,FOSA,Moins de 5 ans,22.37780000000,4.12404000000,Mbomou,Ouango,Ngbandinga
Bouboui,Puits traditionnel,Non,Non,Hors du village,Ecole,Moins de 10 ans,18.32330000000,4.61249000000,Ombella M'Poko,Bimbo,Bimbo
Mbia 2,Puits traditionnel,Oui,Non,Dans le village,Ecole,Plus de 10 ans,21.30640000000,4.97953000000,Basse-Kotto,Alindao,Guiligui
Loungougba,Puits moderne,Oui,Non,Dans le village,Ecole,Moins de 5 ans,22.67040000000,4.72972000000,Mbomou,Ouango,Ouango
Ndiba 2,Puits traditionnel,Oui,Non,Hors du village,Communaute,,19.69360000000,6.66068000000,Nana-Gribizi,Mbrès,Mbrés
Pia,Puits traditionnel,Non,Non,Hors du village,Communaute,Plus de 10 ans,17.72160000000,7.18493000000,Ouham,Batangafo,Bédé
Depoint,Puits traditionnel,Oui,Non,Dans le village,Communaute,Plus de 10 ans,18.36200000000,6.68363000000,Ouham,Bouca,Lady Gbawi
Kpabara I,Puits moderne,Non,Oui,Hors du village,Ecole,Moins de 10 ans,18.75490000000,5.01205000000,Ombella M'Poko,Damara,Damara
Bamara-Kassai,Puits moderne,Oui,Oui,Hors du village,Communaute,Plus de 10 ans,18.35770000000,7.36359000000,Ouham,Batangafo,Ouassi
Nguimalet,Puits traditionnel,Oui,Non,Hors du village,Communaute,,19.66710000000,6.65990000000,Nana-Gribizi,Mbrès,Mbrés
Bissangai,Puits moderne,Oui,Oui,Dans le village,Communaute,Plus de 10 ans,18.38960000000,7.38924000000,Ouham,Batangafo,Ouassi
Boyali Yaho,Puits traditionnel,Oui,Non,Dans le village,Communaute,Plus de 10 ans,16.19240000000,6.01539000000,Ouham Pendé,Bozoum,Birvan-Bolé
Badjianda,Puits moderne,Oui,Oui,Hors du village,Communaute,Plus de 5 ans,16.15320000000,6.92547000000,Ouham Pendé,Paoua,Malé
Bania,Puits moderne,Non,Non,Hors du village,Communaute,Plus de 10 ans,16.11270000000,4.00647000000,Mambéré-Kadéï,Berbérati,Basse-Mambéré
Bai,Puits moderne,Oui,Oui,Hors du village,Communaute,Plus de 5 ans,16.12940000000,6.77608000000,Ouham Pendé,Paoua,Malé
Belé,Puits moderne,Oui,Oui,Dans le village,Communaute,Plus de 5 ans,16.20950000000,7.06285000000,Ouham Pendé,Paoua,Malé
