VILLE_VILL,STATUT_ECO,CYCLE,NOM_ECOLE,NB_ELEVES,NB_FILLES,NB_SALLES_,NB_INSTIT,NB_MAITRE_,TYPE_CONST,LATRINES_S,lon,lat,REGION_NOM,PREF_NOM,SPREF_NOM,COM_NOM
Yambala_Koudouvelu,Public,Incomplet,Ecole_mixte_Yambala_Koudouvulu,63.000000,25.000000,1.000000,2.000000,0.000000,Traditionnel,Non,20.03810000000,7.23241000000,Fertit,Bamingui_Bangoran,Bamingui,Vassako
Mbengou,Public,Complet,Ecole_mixte_de_Mbungou,127.000000,96.000000,3.000000,1.000000,2.000000,Composite,Non,20.14040000000,7.31208000000,Fertit,Bamingui_Bangoran,Bamingui,Vassako
Balouba,Public,Complet,Ecole_mixte_de_Balouba,103.000000,41.000000,2.000000,3.000000,2.000000,Semi_dur,Oui,20.17190000000,7.48476000000,Fertit,Bamingui_Bangoran,Bamingui,Vassako
Bamingui,Public,Complet,Ecole_Sous_Prufectorale_mixte,748.000000,408.000000,4.000000,4.000000,4.000000,Semi_dur,Oui,20.17490000000,7.55630000000,Fertit,Bamingui_Bangoran,Bamingui,Vassako
Bamingui,Prive,Complet,ECOFAC_Niango,213.000000,88.000000,3.000000,6.000000,0.000000,Composite,Non,20.17700000000,7.57357000000,Fertit,Bamingui_Bangoran,Bamingui,Vassako
Vata,Public,Complet,Ecole_Vata,106.000000,54.000000,3.000000,4.000000,3.000000,Composite,Oui,20.20270000000,7.69267000000,Fertit,Bamingui_Bangoran,Bamingui,Vassako
Dangavo,Public,Complet,Ecole_mixte_de_Dangavo,60.000000,29.000000,2.000000,1.000000,2.000000,Composite,Non,20.03810000000,7.23241000000,Fertit,Bamingui_Bangoran,Bamingui,Vassako
,Public,Complet,Ecole_mixte_de_Bangoran,95.000000,50.000000,3.000000,5.000000,2.000000,Semi_dur,Non,20.17710000000,7.56139000000,Fertit,Bamingui_Bangoran,Bamingui,Vassako
Kotissako,Public,Complet,Ecole_mixte_de_Kotissako,462.000000,184.000000,6.000000,10.000000,0.000000,Composite,Oui,20.39280000000,8.14662000000,Fertit,Bamingui_Bangoran,Bamingui,Vassako
Kaka,Public,Complet,Ecole_mixte_de_Kaka,82.000000,36.000000,2.000000,4.000000,0.000000,Composite,Non,20.53000000000,8.20115000000,Fertit,Bamingui_Bangoran,Bamingui,Vassako
Bissingou_2,Public,Complet,Ecole_mixte_Bissingou_2,112.000000,46.000000,3.000000,6.000000,0.000000,Traditionnel,Oui,20.57140000000,8.25649000000,Fertit,Bamingui_Bangoran,Bamingui,Vassako
Adoum_Mindou,Public,Complet,Ecole_mixte_Adou_Mindou,130.000000,85.000000,6.000000,8.000000,0.000000,Composite,Oui,20.60170000000,8.36138000000,Fertit,Bamingui_Bangoran,Bamingui,Vassako
Ndele,Public,Complet,Ecole_mixte_Ndoka,1112.000000,564.000000,7.000000,24.000000,2.000000,Dur,Oui,20.64170000000,8.41046000000,Fertit,Bamingui_Bangoran,Nd̩l̩,Dar_El_Kouti
Ndele,Public,Complet,Ecole_mixte_Sainte_Marie,554.000000,238.000000,3.000000,13.000000,0.000000,Dur,Oui,20.65340000000,8.41039000000,Fertit,Bamingui_Bangoran,Nd̩l̩,Dar_El_Kouti
,Prive,Complet,Ecole_Sainte_Marie,0.000000,0.000000,5.000000,0.000000,0.000000,Dur,Non,20.65380000000,8.41049000000,Fertit,Bamingui_Bangoran,Nd̩l̩,Dar_El_Kouti
,Public,Complet,Ecole_Prufectorale,595.000000,274.000000,6.000000,17.000000,0.000000,Dur,Oui,20.65490000000,8.40430000000,Fertit,Bamingui_Bangoran,Nd̩l̩,Dar_El_Kouti
