Localité,TYPE_POINT,FONCTIONNE,COMITE_GES,RESID_ART_,LOCALISATI,ANNEE_IN_1,lon,lat,PREF_NOM,SPREF_NOM,COM_NOM
Pouko,Source non amenagee,Oui,Non,,Hors du village,,19.79180000000,5.94412000000,Ouaka,Grimari,Pouyamba
Alindao,Source non amenagee,Oui,Oui,Dans le village,Hors du village,Plus de 10 ans,21.20880000000,5.05551000000,Basse-Kotto,Alindao,Alindao
Sana 3,Source non amenagee,Oui,Oui,Dans le village,Hors du village,Plus de 10 ans,23.91400000000,5.00029000000,Mbomou,Rafai,Rafai
Carnot,Reseau moderne,Oui,Oui,Hors du village,Communaute,Plus de 10 ans,15.88520000000,4.94428000000,Mambéré-Kadéï,Carnot,Carnot
Yangouko,Source non amenagee,Oui,Non,,Hors du village,,19.75490000000,5.01758000000,,,
Herba,Source amenagee,Oui,Oui,Dans le village,Communaute,Moins de 10 ans,15.99430000000,6.69170000000,Ouham Pendé,Bocaranga,Péndé
Carnot,Reseau moderne,Oui,,Dans le village,Communaute,Plus de 10 ans,15.88570000000,4.94840000000,Mambéré-Kadéï,Carnot,Carnot
Lendje,Source amenagee,Oui,,,Hors du village,Plus de 10 ans,22.01400000000,5.59552000000,Haute-Kotto,Bria,Daho-Mboutou
Mambele,Reseau Moderne,Oui,Non,Dans le village,Communaute,Plus de 10 ans,16.64370000000,3.93590000000,Sangha-Mbaéré,Bambio,Mbaéré
Mbaiki,Reseau moderne,Oui,Oui,Hors du village,FOSA,Plus de 10 ans,17.98620000000,3.87627000000,Lobaye,Mbaïki,Mbaiki
Nzonzo,Source amenagee,Oui,Non,Dans le village,Communaute,,16.14840000000,5.03626000000,Mambéré-Kadéï,Gadzi,Topia
Mbouli,Reseau moderne,Oui,Oui,Hors du village,FOSA,,15.52350000000,4.89709000000,Mambéré-Kadéï,Carnot,Carnot
Berbérati,Reseau moderne,Non,Oui,Dans le village,Ecole,Plus de 10 ans,15.79650000000,4.26917000000,Mambéré-Kadéï,Berbérati,Basse-Batouri
Ippy,Source amenagee,Oui,Non,Hors du village,Hors du village,,21.19130000000,6.27286000000,Ouaka,Ippy,Ippy
SOMICA,Source amenagee,Oui,Oui,Hors du village,Hors du village,Plus de 10 ans,15.73920000000,4.91139000000,Mambéré-Kadéï,Carnot,Carnot
SOMICA,Source amenagee,Oui,Non,Hors du village,Hors du village,Plus de 10 ans,15.74110000000,4.91153000000,Mambéré-Kadéï,Carnot,Carnot
Gallo,Reseau moderne,Oui,Oui,,FOSA,,15.16460000000,5.79567000000,Nana-Mambéré,Baboua,Fo
Ndele,Reseau moderne,,,,FOSA,,20.64990000000,8.41096000000,Bamingui-Bangoran,Ndélé,Dar El Kouti
Djenda,Source amenagee,Oui,Non,Hors du village,Hors du village,Plus de 10 ans,19.20860000000,5.17200000000,Kémo,Ndjoukou,Galafondo
Mbres,Reseau moderne,Non,Non,Hors du village,Communaute,Moins de 10 ans,19.79400000000,6.67280000000,Nana-Gribizi,Mbrès,Mbrés
Bodoua-Boro,Source amenagee,Oui,Non,,Hors du village,Plus de 10 ans,17.28240000000,6.61569000000,Ouham,Bossangoa,Ndoro Mboli
Mission Catholique,Reseau moderne,Oui,Non,Hors du village,FOSA,Moins de 10 ans,19.17972200000,6.99027778000,Nana-Gribizi,Kaga-Bandoro,Kaga-Bandoro
Mongoumba,Source amenagee,Oui,Non,Hors du village,Hors du village,Plus de 10 ans,18.59300000000,3.61277000000,Lobaye,Mongoumba,Mongoumba
Kabo,Reseau moderne,Oui,Oui,Dans le village,FOSA,Plus de 10 ans,18.62770000000,7.69203000000,Ouham,Kabo,Sido
Mongoumba,Source amenagee,Oui,Non,Hors du village,Hors du village,Plus de 10 ans,18.59470000000,3.62429000000,Lobaye,Mongoumba,Mongoumba
Dongo,Source non amenagee,Oui,Oui,,Hors du village,,15.29910000000,4.23485000000,Mambéré-Kadéï,Gamboula,Basse-Boumné
Mbres,Source amenagee,Oui,Oui,Hors du village,FOSA,Plus de 10 ans,19.80140000000,6.66856000000,Nana-Gribizi,Mbrès,Mbrés
Ndomete-Denguino1,Reseau moderne,Oui,Oui,Hors du village,Communaute,Moins de 10 ans,19.18980000000,6.90732000000,Nana-Gribizi,Kaga-Bandoro,Ndenga
Camp refugies Soudan,Reseau moderne,Oui,Oui,,FOSA,,20.59030000000,5.72698000000,Ouaka,Bambari,Pladama-Ouaka
Kangamotema,Source amenagee,Oui,Oui,Hors du village,Hors du village,Moins de 10 ans,19.08600000000,5.64293000000,Kémo,Ndjoukou,Galafondo
Camp refugies Soudan,Reseau moderne,Oui,Oui,,Communaute,,20.59270000000,5.72633000000,Ouaka,Bambari,Pladama-Ouaka
De gaulle,Source amenagee,Oui,Oui,Dans le village,Communaute,Moins de 10 ans,15.45050000000,6.93246000000,Ouham Pendé,Koui,Koui
Bohong,Reseau moderne,Oui,Oui,Dans le village,FOSA,Plus de 10 ans,15.65200000000,6.49537000000,Ouham Pendé,Bocaranga,Bocaranga
Niem,Reseau moderne,Oui,Oui,Hors du village,FOSA,Plus de 10 ans,15.22900000000,6.20178000000,Nana-Mambéré,Bouar,Niem-Yelewa
Mandja Otto,Source amenagee,Oui,Oui,Hors du village,Hors du village,Moins de 10 ans,19.08600000000,5.64293000000,Kémo,Ndjoukou,Galafondo
Bandoka1,Source non amenagee,Non,Non,Hors du village,Hors du village,Plus de 10 ans,16.01550000000,3.49015000000,Sangha-Mbaéré,Nola,Bilolo
Liotto,Source amenagee,Oui,Non,,Hors du village,,20.15430000000,5.31178000000,Ouaka,Kouango,Azéngué-Mindou
Ngoulia,Source amenagee,Oui,Oui,Hors du village,Hors du village,Moins de 10 ans,19.16970000000,5.23244000000,Kémo,Ndjoukou,Galafondo
Bissingou 1,Source non amenagee,Non,Non,Hors du village,Hors du village,Plus de 10 ans,20.58010000000,8.26389000000,Bamingui-Bangoran,Bamingui,Vassako
Delebama,Reseau moderne,Oui,Oui,Dans le village,Communaute,Plus de 10 ans,18.51490000000,4.55574000000,Ombella M'Poko,Bimbo,Bimbo
Gamboula,Reseau moderne,Oui,Oui,Hors du village,Ecole,Plus de 10 ans,15.15270000000,4.09753000000,Mambéré-Kadéï,Gamboula,Basse-Boumné
Gbakolekpa,Source non amenagee,Non,Non,Hors du village,Hors du village,Plus de 10 ans,20.17710000000,7.56139000000,Bamingui-Bangoran,Bamingui,Vassako
Kagaze,Source non amenagee,Oui,Non,Dans le village,Hors du village,Plus de 10 ans,20.16330000000,7.34158000000,Bamingui-Bangoran,Bamingui,Vassako
Ngakobo,Reseau moderne,Oui,Oui,Dans le village,FOSA,,20.70410000000,5.31803000000,Ouaka,Kouango,Cochio-Toulou
Be-Gueze,Source amenagee,Oui,Non,Hors du village,Hors du village,Plus de 10 ans,19.13090000000,6.38012000000,Kémo,Dékoa,Tilo
Ngakobo,Reseau moderne,Non,Oui,Dans le village,Ecole,,20.70630000000,5.32333000000,Ouaka,Kouango,Cochio-Toulou
Obo,Source amenagee,Oui,Non,Hors du village,Hors du village,Moins de 5 ans,26.49460000000,5.38284000000,Haut-Mbomou,Obo,Obo
Kovongomia,Source non amenagee,Non,Non,Hors du village,Hors du village,Plus de 10 ans,20.48020000000,8.19338000000,Bamingui-Bangoran,Bamingui,Vassako
Gbaloko,Reseau moderne,Oui,Oui,Hors du village,FOSA,Moins de 10 ans,18.50810000000,4.46746000000,Ombella M'Poko,Bimbo,Bimbo
Bandassi-Oumar,Source amenagee,Oui,Non,Hors du village,Hors du village,Moins de 5 ans,23.92900000000,4.96484000000,Mbomou,Rafai,Rafai
Bossangoa,Reseau moderne,Non,Oui,,Ecole,,17.44440000000,6.49470000000,Ouham,Bossangoa,Bossangoa
Obo,Source amenagee,Oui,Non,Hors du village,Hors du village,Moins de 5 ans,26.50120000000,5.40322000000,Haut-Mbomou,Obo,Obo
Ngoussoua,Source non amenagee,Non,Non,Hors du village,Hors du village,Plus de 10 ans,20.42510000000,8.17798000000,Bamingui-Bangoran,Bamingui,Vassako
Balego,Source amenagee,Oui,Non,Hors du village,Hors du village,,15.78460000000,4.25620000000,Mambéré-Kadéï,Berbérati,Basse-Batouri
Bossangoa,Reseau moderne,Non,Oui,,Ecole,,17.44460000000,6.49395000000,Ouham,Bossangoa,Bossangoa
